i,j
48479,48283
48479,48311
06093,41033
06093,06049
06093,41029
06093,41035
48389,48371
48389,48301
48389,48475
48389,35015
48323,48127
48323,48271
48323,48507
48323,48463
48047,48131
48047,48261
48047,48249
48047,48273
48489,48261
48443,48371
48443,48465
48443,48105
41015,41033
41015,41011
41015,41019
48127,48507
48127,48283
48127,48163
48371,48475
48371,48103
48371,48105
04001,35006
04001,35031
04001,35045
04001,49037
04001,08083
32031,32027
32031,06049
32031,32013
32031,41037
32031,41025
41033,41029
41033,41019
35053,35006
35053,35027
35053,35061
35053,35057
48131,48283
48131,48249
48131,48311
48131,48297
48261,48273
48465,48271
48465,48105
48465,48137
48465,48435
48271,48507
48271,48463
48271,48137
48507,48463
48507,48163
48507,48325
49021,49025
49021,49001
49021,49017
32027,32015
32027,32013
48283,48311
48283,48163
48283,48013
48301,48475
48301,35015
48301,48495
48301,35025
48475,48495
48475,48103
48475,48135
35015,35005
35015,35025
35006,35031
35006,35061
35006,35001
35006,35043
32015,32011
32015,32013
32015,32007
06049,41035
06049,41037
41029,41035
41029,41019
49025,49017
49025,49037
48249,48273
48249,48355
48249,48297
48249,48409
48273,48355
48495,48135
48495,35025
48495,48003
48103,48105
48103,48461
48103,48135
41011,41019
48463,48163
48463,48137
48463,48385
48463,48325
48463,48019
48311,48297
48311,48013
48163,48325
48163,48013
48105,48461
48105,48435
48105,48383
48105,48413
48105,48235
49001,49017
49001,49031
49001,49027
49001,49041
35027,35005
35027,35057
35027,35011
35027,35019
35031,35045
35031,35043
32011,32033
32011,32007
48137,48385
48137,48435
48137,48265
48137,48267
48461,48135
48461,48383
48461,48329
48461,48173
35061,35001
35061,35057
48355,48409
48355,48007
32033,49027
32033,49023
32033,32007
32033,49045
48135,48003
48135,48329
48297,48409
48297,48013
48297,48025
48297,48255
48385,48019
48385,48265
35005,35025
35005,35011
35005,35041
48325,48013
48325,48019
48325,48029
48409,48025
48409,48007
48409,48391
41035,41019
41035,41037
41035,41039
41035,41017
41019,41039
48013,48029
48013,48255
48013,48493
48435,48413
48435,48267
48435,48327
49017,49031
49017,49055
49017,49037
48383,48329
48383,48235
48383,48173
48383,48431
48383,48451
35025,48003
35025,48165
35025,48501
35025,35041
35025,48079
35001,35057
35001,35043
35001,35049
49031,49055
49031,49041
48003,48329
48003,48165
48003,48317
48025,48255
48025,48391
48025,48175
49027,49041
49027,49023
49027,49039
48329,48173
48329,48317
48019,48265
48019,48029
48019,48259
35057,35049
35057,35019
35057,35047
32013,32007
32013,41025
32013,41045
32013,16073
48413,48235
48413,48267
48413,48327
48413,48451
48413,48095
48235,48451
48265,48267
48265,48259
48265,48171
48007,48391
48007,48057
48029,48493
48029,48259
48029,48091
48029,48187
48255,48493
48255,48175
48255,48123
48255,48177
48173,48317
48173,48431
48173,48227
48267,48327
48267,48171
48267,48319
48391,48175
48391,48057
48391,48469
35045,35043
35045,49037
35045,08083
35045,35039
35045,08067
35045,08007
48165,48317
48165,48501
48165,48115
48165,48445
48493,48187
48493,48177
35043,35049
35043,35028
35043,35039
48317,48227
48317,48115
48317,48033
48175,48123
48175,48469
41037,41017
41037,41025
49055,49041
49055,49037
49055,49015
49055,49019
49041,49039
49041,49015
49037,08083
49037,49015
49037,08033
49037,08113
49037,49019
49037,08085
49037,08077
41039,41041
41039,41003
41039,41017
41039,41043
48259,48171
48259,48091
48259,48031
48327,48451
48327,48319
48327,48095
48327,48307
48431,48451
48431,48227
48431,48081
48431,48335
48501,48445
48501,48079
48501,48219
48451,48081
48451,48095
48451,48399
35011,35019
35011,35041
35011,35037
48171,48319
48171,48031
48171,48299
48227,48115
48227,48335
48227,48033
35049,35028
35049,35039
35049,35047
35049,35033
48091,48187
48091,48031
48091,48209
48115,48445
48115,48033
48115,48305
48187,48177
48187,48209
48187,48055
48123,48469
48123,48177
48123,48285
48057,48469
48057,48239
48057,48321
48319,48307
48319,48299
48319,48411
48469,48239
48469,48285
35028,35039
35019,35047
35019,35037
41041,41003
41041,41053
41041,41057
48081,48335
48081,48399
48081,48353
48445,48079
48445,48305
48445,48219
48445,48303
08083,08067
08083,08033
08083,08111
41003,41043
41003,41053
35041,48079
35041,48017
35041,35009
35041,35037
48095,48307
48095,48399
48095,48083
49023,49039
49023,49045
49023,49049
48079,48219
48079,48017
48079,48279
48177,48055
48177,48285
48177,48149
48031,48209
48031,48299
48031,48453
48031,48053
32007,49045
32007,16073
32007,49003
32007,16083
32007,16031
48335,48033
48335,48353
48335,48415
48335,48151
48033,48305
48033,48415
48033,48169
48209,48055
48209,48453
48307,48411
48307,48083
48307,48049
48299,48411
48299,48053
41017,41043
41017,41025
41017,41013
41017,41031
48055,48453
48055,48021
48055,48149
35039,08007
35039,35033
35039,35055
35039,08021
49039,49015
49039,49049
49039,49007
48305,48219
48305,48169
48305,48303
48305,48107
48239,48285
48239,48321
48239,48481
48239,48089
41043,41053
41043,41047
41043,41031
48219,48017
48219,48303
48219,48279
48219,48189
08067,08033
08067,08007
08067,08111
08067,08053
48399,48353
48399,48441
48399,48083
41025,41013
41025,41045
41025,41023
49015,49019
49015,49007
49015,49047
08033,08113
08033,08111
48285,48149
48285,48089
41053,41047
41053,41071
41053,41057
48017,35009
48017,48279
48017,48369
48353,48415
48353,48441
48353,48151
48353,48253
35047,35033
35047,35037
35047,35021
48415,48169
48415,48151
48415,48263
49045,49049
49045,49035
49045,49003
49045,49011
49045,49057
48411,48053
48411,48049
48411,48281
48411,48333
35009,48369
35009,35037
35009,48117
48453,48053
48453,48021
48453,48491
48321,48481
48321,48039
48169,48303
48169,48263
48169,48107
48169,48125
48303,48279
48303,48107
48303,48189
48303,48153
48053,48491
48053,48281
48053,48027
08113,08111
08113,08085
08113,08091
08007,08053
08007,08079
08007,08021
08007,08105
48021,48149
48021,48491
48021,48287
41047,41071
41047,41031
41047,41005
41047,41065
48279,48369
48279,48189
48279,48069
41071,41057
41071,41005
41071,41067
48441,48083
48441,48151
48441,48059
48441,48253
48149,48089
48149,48287
48149,48015
48149,48477
48481,48089
48481,48015
48481,48039
48481,48157
41057,41067
41057,41007
41057,41009
48083,48049
48083,48059
48151,48263
48151,48253
48151,48433
35033,35055
35033,35021
35033,35007
48369,48069
48369,48117
41013,41031
41013,41069
41013,41023
48089,48015
08111,08053
08111,08091
35037,48117
35037,35021
35037,48359
35037,48205
35037,35059
48049,48333
48049,48059
48049,48093
48049,48133
49049,49007
49049,49035
49049,49051
49049,49013
49019,08085
49019,08077
49019,49047
49019,08045
35055,08021
35055,35007
35055,08023
48491,48287
48491,48027
48491,48331
48263,48107
48263,48433
48263,48125
48263,48269
48281,48333
48281,48027
48281,48099
48281,48193
48333,48093
48333,48193
48107,48189
48107,48125
48107,48153
48107,48345
41031,41065
41031,41069
48189,48069
48189,48153
48189,48437
49007,49013
49007,49047
08053,08091
08053,08079
08053,08109
08053,08051
41045,16073
41045,41023
41045,16027
41045,16075
41045,41001
41045,16087
48287,48477
48287,48331
48287,48051
48059,48253
48059,48133
48059,48417
41005,41067
41005,41051
41005,41065
41005,41027
08085,08091
08085,08077
08085,08029
08085,08051
16073,16083
16073,16027
16073,16001
16073,16039
08091,08051
41067,41007
41067,41051
41067,41009
48253,48433
48253,48417
48253,48207
08079,08105
08079,08109
48069,48117
48069,48437
48069,48381
08021,08105
08021,08023
08021,08003
48015,48157
48015,48477
48015,48473
48039,48157
48039,48167
48039,48201
48433,48125
48433,48207
48433,48269
48433,48275
08105,08003
08105,08109
48117,48359
48117,48381
48117,48375
49035,49051
49035,49011
49035,49029
49035,49043
48125,48153
48125,48269
48125,48345
48125,48101
48157,48473
48157,48201
48027,48099
48027,48331
48027,48145
48027,48309
35021,35007
35021,35059
48153,48437
48153,48345
48153,48045
48093,48193
48093,48133
48093,48143
49051,49013
49051,49043
41007,41009
41007,53069
41007,53049
41051,41009
41051,53011
41051,41027
41051,53059
48099,48193
48099,48035
48099,48309
48477,48051
48477,48473
48477,48041
48477,48185
48193,48143
48193,48035
48331,48051
48331,48145
48331,48395
48437,48381
48437,48045
48437,48011
48133,48417
48133,48429
48133,48143
48133,48363
48051,48041
48051,48395
48417,48207
48417,48429
48417,48447
49003,49011
49003,49057
49003,16031
49003,49005
49003,16071
49011,49029
49011,49057
41065,41069
41065,41027
41065,41055
41065,41021
41065,53039
35007,08023
35007,35059
35007,08071
41009,53011
41009,53069
41009,53015
41069,41023
41069,41021
41069,41049
48473,48201
48473,48185
48473,48339
08077,08029
08077,08051
08077,08045
08077,08097
16083,16031
16083,16053
16083,16047
16083,16039
53011,53015
53011,53059
48207,48269
48207,48447
48207,48275
48207,48023
48269,48345
48269,48275
48269,48101
48269,48155
41027,53059
41027,53039
48345,48045
48345,48101
48345,48191
08023,08003
08023,08055
08023,08071
49013,49043
49013,49047
49013,49009
48167,48201
48167,48071
48359,48381
48359,48205
48359,48375
48359,48341
08003,08109
08003,08055
41023,41049
41023,41001
41023,41059
41023,41061
08029,08051
48381,48011
48381,48375
48381,48065
53069,53049
53069,53015
53069,53041
48045,48011
48045,48191
48045,48129
48429,48447
48429,48363
48429,48503
48143,48035
48143,48425
48143,48363
48143,48221
48201,48339
48201,48071
48201,48291
48041,48185
48041,48395
48041,48313
48041,48289
49029,49057
49029,49043
49029,49033
16027,16001
16027,16075
16027,16045
08109,08051
08109,08055
08109,08027
08109,08015
08109,08043
49057,49005
49057,49033
48145,48309
48145,48395
48145,48293
53049,53041
53049,53027
16001,16039
16001,16045
16001,16015
48035,48309
48035,48425
48035,48217
48035,48251
41055,41021
41055,53039
48447,48275
48447,48503
48447,48023
48447,48009
48309,48217
48309,48293
53015,53059
53015,53041
49043,49033
49043,56041
49043,49009
49043,56037
48275,48155
48275,48023
48185,48339
48185,48313
48185,48471
48395,48313
48395,48293
48395,48289
08051,08015
08051,08097
16031,16053
16031,16071
16031,16067
16031,16077
16031,16013
49047,08045
49047,08103
49047,49009
49047,08081
48101,48191
48101,48155
48101,48075
48101,48197
53059,53039
53059,53041
53059,53077
48205,35059
48205,48111
48205,48341
48205,48421
16053,16047
16053,16063
16053,16067
48011,48375
48011,48129
48011,48065
48011,48179
16047,16039
16047,16063
16047,16025
41021,53039
41021,41049
48425,48221
48425,48251
35059,48111
35059,08071
35059,40025
35059,08009
48339,48471
48339,48291
48339,48407
48375,48065
48375,48341
48191,48129
48191,48075
48191,48087
48363,48221
48363,48503
48363,48367
48363,48237
16039,16025
16039,16015
16039,16013
16039,16037
16075,16045
16075,16087
48071,48291
48071,48245
48221,48251
48221,48367
48155,48023
48155,48197
48155,48487
48503,48023
48503,48009
48503,48237
08055,08027
08055,08071
08055,08101
48023,48009
48023,48487
48023,48485
48217,48293
48217,48251
48217,48349
48217,48139
48313,48471
48313,48289
48313,48225
48293,48289
48293,48161
48293,48349
53039,41049
53039,53077
53039,53005
49005,16071
49005,49033
49005,16041
49005,16007
08045,08103
08045,08097
08045,08037
08045,08107
41049,41059
41049,53005
16063,16067
16063,16025
16063,16013
48129,48065
48129,48087
48129,48179
48129,48483
48471,48407
48471,48455
48471,48225
16045,16087
16045,16015
16045,16003
16045,16085
16071,16077
16071,16041
16071,16005
08027,08043
08027,08101
48075,48197
48075,48087
48075,40057
53041,53027
53041,53067
53041,53077
53041,53053
48065,48341
48065,48179
48065,48233
48065,48393
48111,48341
48111,48421
48111,40025
53027,53067
53027,53045
53027,53031
08015,08097
08015,08043
08015,08065
08015,08093
41001,16087
41001,41061
41001,16003
41001,41063
48291,48407
48291,48245
48291,48199
48291,48373
48341,48233
48341,48421
48341,48195
08071,08101
08071,08089
08071,08009
08071,08011
48251,48367
48251,48139
48251,48439
16067,16013
49033,56041
49033,16041
49033,16007
49033,56023
48197,48487
48197,40057
48197,40065
48367,48237
48367,48439
48367,48497
56041,56023
56041,56037
16025,16013
08103,08081
08103,08107
48289,48161
48289,48225
48289,48001
48407,48373
48407,48455
08097,08065
08097,08037
16087,16003
53067,53045
53067,53053
48009,48237
48009,48487
48009,48485
48009,48077
16015,16085
16015,16037
48237,48497
48237,48077
48237,48337
48487,48485
48487,40065
48487,40141
08043,08101
08043,08093
08043,08119
08043,08041
49009,08081
49009,56037
48245,48199
48245,48361
48245,22023
16077,16013
16077,16005
16077,16011
16041,16005
16041,16007
16041,16029
48087,48179
48087,40057
48087,48483
48087,40009
48161,48349
48161,48001
48161,48213
48179,48483
48179,48393
48179,48211
48233,48421
48233,48393
48233,48195
48349,48139
48349,48213
40057,40065
40057,40055
40057,40009
48139,48439
48139,48113
48139,48213
48139,48257
08065,08037
08065,08093
08065,08117
48421,40025
48421,48195
48421,40139
48439,48497
48439,48113
48439,48121
16013,16011
16013,16023
16013,16037
41059,41061
41059,53005
41059,41063
41059,53071
41059,53013
53045,53053
53045,53031
53045,53035
40025,08009
40025,40139
40025,20129
48199,48373
48199,48361
48199,48457
48199,48241
41061,41063
48485,48077
48485,40141
48485,40033
53077,53053
53077,53005
53077,53033
53077,53037
53077,53025
48373,48455
48373,48457
48373,48005
48455,48225
48455,48005
48225,48001
48225,48005
48225,48073
53053,53035
53053,53033
53053,53037
08101,08089
08101,08025
08101,08041
08101,08073
40065,40141
40065,40055
40065,40075
48497,48337
48497,48121
48497,48097
16005,16011
16005,16029
08037,08117
08037,08107
08037,08049
16007,56023
16007,16029
48077,48337
48077,40033
48077,40067
08081,08107
08081,56037
08081,56007
48361,22023
48361,48241
48361,22019
48361,48351
40141,40033
40141,40075
40141,40031
48483,48393
48483,40009
48483,48211
48483,40129
08093,08119
08093,08117
08093,08019
08093,08059
48393,48195
48393,48211
48393,48357
48393,48295
08089,08025
08089,08011
08089,08061
40055,40009
40055,40075
16003,16085
16003,41063
16003,16049
48195,40139
48195,48357
53005,53071
53005,53021
53005,53025
48113,48121
48113,48257
48113,48397
48113,48085
08119,08041
08119,08035
08119,08059
48001,48213
48001,48073
53031,53035
53031,53009
53031,53029
53031,53055
48457,48005
48457,48241
48337,40067
48337,48097
48337,40085
48121,48097
48121,48085
48121,48181
08117,08019
08117,08049
56023,16029
56023,56037
56023,16019
56023,56035
56023,56039
08009,08011
08009,20129
08009,08099
08009,20187
53035,53033
53035,53029
53035,53061
53009,53055
48213,48257
48213,48073
48213,48467
48213,48423
40009,40075
40009,40129
40009,40149
40009,40039
40033,40067
40033,40031
40033,40137
48257,48397
48257,48467
48257,48231
16085,16037
16085,16059
16085,16049
16011,16029
16011,16023
16011,16019
16011,16051
22023,22019
22023,22053
22023,22113
16029,16019
48211,40129
48211,48295
48211,40045
48005,48241
48005,48073
48005,48347
48005,48405
48241,48351
48241,48405
48241,48403
16023,16037
16023,16051
16023,16059
16023,16033
40139,48357
40139,20129
40139,20189
40139,40007
40139,20175
08025,08041
08025,08061
08025,08073
48357,48295
48357,40007
40075,40031
40075,40149
40075,40015
08041,08035
08041,08039
08041,08073
53033,53037
53033,53061
53033,53007
41063,53013
41063,53003
41063,53023
41063,16069
41063,16049
48397,48085
48397,48231
16037,16059
48073,48347
48073,48423
48073,48401
22019,48351
22019,22011
22019,22053
08011,08099
08011,08061
40067,40085
40067,40137
40067,40019
53037,53025
53037,53007
53037,53017
48097,40085
48097,48181
40031,40137
40031,40015
40031,40051
53071,53021
53071,53013
08107,08049
08107,08057
08107,56007
08019,08059
08019,08049
08019,08047
48467,48423
48467,48379
48467,48231
48467,48499
48085,48231
48085,48181
48085,48147
20129,20189
20129,20187
40129,40039
40129,40045
40129,40043
56037,56035
56037,56007
56037,56013
48351,22011
48351,48403
48351,22115
48351,22085
53021,53013
53021,53025
53021,53001
53021,53075
08035,08059
08035,08039
08035,08005
48347,48405
48347,48401
48347,48419
08059,08047
08059,08031
08059,08013
08059,08014
08059,08005
08059,08001
08049,08047
08049,08057
08049,08013
08049,08069
40149,40015
40149,40039
48295,40007
48295,40045
40085,48181
40085,40019
40085,40095
53029,53055
53029,53061
53029,53057
08047,08013
40137,40019
40137,40051
40137,40049
48405,48403
48405,48419
22011,22053
22011,22003
22011,22115
53013,53023
53013,53075
48423,48401
48423,48499
48423,48183
48423,48459
48379,48231
48379,48499
48379,48223
48231,48147
48231,48223
48231,48119
48181,40095
48181,48147
48181,40013
16019,16051
16019,16065
16019,16081
16019,56039
22053,22113
22053,22003
22053,22001
22053,22039
20189,20187
20189,20175
20189,20067
20189,20081
22113,22045
22113,22001
22113,22055
08099,20187
08099,08061
08099,20075
08099,20071
16051,16065
16051,16033
16051,16043
20187,20067
20187,20075
20187,20093
48401,48419
48401,48183
48401,48365
48401,48203
53055,53057
53055,53073
40019,40095
40019,40099
40019,40049
40019,40069
48403,48419
48403,22085
53003,53023
53003,16069
53003,53075
53061,53007
53061,53057
40015,40039
40015,40051
40015,40011
40015,40017
40039,40043
40039,40011
40007,40045
40007,20175
40007,20119
40007,40059
40007,20025
40045,40043
40045,40153
40045,40059
08031,08005
08031,08001
48499,48223
48499,48459
48499,48159
48499,48063
08057,08069
08057,56007
08057,56001
08013,08014
08013,08069
08013,08123
08061,08073
08061,08017
08061,20071
53025,53001
53025,53017
53025,53043
53025,53047
08039,08073
08039,08005
22045,22055
22045,22101
22045,22099
22045,22007
22045,22047
53023,53075
56035,56039
56035,56013
40095,40013
40095,40069
48419,48365
48419,22085
48419,22031
08014,08001
08014,08123
08073,08005
08073,08017
08073,08063
08073,08121
20175,20081
20175,20119
22003,22115
22003,22039
22003,22079
22001,22055
22001,22039
22001,22097
20067,20075
20067,20081
20067,20093
20067,20055
40051,40049
40051,40087
40051,40017
48183,48459
48183,48203
16065,16081
16065,16043
48147,48119
48147,40013
48147,48277
48223,48119
48223,48159
53001,53075
53001,53043
16059,16033
16059,16049
16059,30001
16059,30081
53007,53057
53007,53017
53007,53047
08005,08001
08005,08121
22115,22085
22115,22079
22115,22069
40043,40153
40043,40011
40043,40093
20075,20093
20075,20071
20075,20203
40099,40049
40099,40069
40099,40123
48365,48203
48365,22031
48365,22017
48459,48063
48459,48203
48459,48343
48459,48315
40049,40087
40049,40123
16069,16061
16069,16049
16069,53075
16069,16057
16069,16035
48119,48159
48119,48277
48119,48387
16033,16043
16033,30001
22085,22031
22085,22069
16061,16049
16061,16035
22055,22099
22055,22097
22101,22109
22101,22099
22101,22007
16081,16043
16081,56039
40013,40069
40013,48277
40013,40005
40013,40023
16049,16035
16049,30081
16049,30063
53057,53073
53057,53047
40069,40123
40069,40005
40069,40029
08001,08123
08001,08087
08001,08121
20081,20119
20081,20093
20081,20069
20081,20055
48159,48063
48159,48449
48159,48387
48063,48449
48063,48343
40087,40017
40087,40027
40087,40123
40087,40125
53017,53047
40153,40059
40153,40093
40153,40151
20119,20025
20119,20069
20119,20057
08069,08123
08069,56001
08069,56021
22039,22097
22039,22079
22039,22009
08017,20071
08017,08063
08017,20199
53075,16057
53075,53043
53075,16009
53075,53063
48203,48315
48203,22017
40059,20025
40059,40151
40059,20033
40011,40017
40011,40093
40011,40073
20093,20055
20093,20203
20093,20171
40017,40027
40017,40073
40017,40109
40017,40083
22031,22069
22031,22017
22031,22081
22109,22007
22109,22057
48277,40023
48277,48387
22099,22097
22099,22007
22099,22047
22099,22077
56007,56013
56007,56001
56007,56025
56007,56009
48449,48343
48449,48387
16043,30001
16043,56039
16043,30057
16043,30031
20071,20203
20071,20199
40027,40109
40027,40125
22097,22077
22097,22009
40123,40029
40123,40125
40123,40133
40123,40063
53073,53047
48343,48315
48343,48387
48343,48067
48343,48037
48315,22017
48315,48067
16057,16035
16057,16009
16057,16079
22079,22069
22079,22043
22079,22009
22069,22081
22069,22043
22069,22127
22069,22013
20025,20033
20025,20057
20025,20097
53043,53047
53043,53063
53043,53019
53043,53065
40093,40073
40093,40151
40093,40003
40093,40047
20069,20055
20069,20057
20069,20083
30001,30081
30001,30057
30001,30023
30001,30093
40005,40029
40005,40023
40005,40127
40005,40121
40029,40063
40029,40121
22007,22047
22007,22057
22007,22093
22007,22005
22017,22081
22017,48067
22017,22015
22017,05091
22081,22015
22081,22013
40023,48387
40023,40127
40023,40089
40073,40109
40073,40083
40073,40047
08063,20199
08063,08121
08063,20181
08063,08125
08063,20023
48387,48037
48387,40089
40109,40125
40109,40083
40109,40081
22047,22077
22047,22121
22047,22005
22047,22033
20055,20171
20055,20101
20055,20083
20055,20135
56039,56013
56039,56029
56039,30031
40125,40133
40125,40081
40125,40107
20203,20199
20203,20171
20203,20109
48067,48037
48067,05091
40151,20033
40151,40003
40151,20007
08123,08087
08123,56021
08123,08075
08123,31105
56013,56017
56013,56029
56013,56025
56013,56043
22057,22093
22057,22051
22057,22089
22057,22095
08087,08121
08087,08075
22043,22127
20199,20109
20199,20181
22077,22009
22077,22121
22077,22125
22077,22029
22009,22125
22009,22025
22009,22029
16035,16079
16035,30061
16035,30063
22121,22033
22121,22125
22121,22037
20033,20097
20033,20007
40133,40063
40133,40107
08121,08125
08121,08075
20057,20097
20057,20083
20057,20047
22093,22005
22093,22095
22015,22013
22015,22119
22015,05091
22015,05073
40083,40047
40083,40081
40083,40119
40083,40103
30081,30023
30081,30039
30081,30063
16009,53063
16009,16055
16009,16079
20171,20109
20171,20101
20171,20063
22005,22033
22005,22095
22005,22063
48037,05091
48037,40089
48037,05081
56001,56021
56001,56031
56001,56009
53047,53019
53063,16055
53063,53065
53063,53051
53063,16017
40063,40121
40063,40107
40063,40091
22127,22013
22127,22049
22127,22021
40127,40121
40127,40089
40127,40077
40127,40079
22013,22119
22013,22049
22013,22027
22013,22061
40003,40047
40003,20007
40003,40053
40003,20077
22033,22063
22033,22037
22033,22091
22051,22089
22051,22095
22051,22075
22051,22071
22051,22105
22051,22103
22125,22037
22125,28157
22125,22029
40047,40053
40047,40103
40047,40071
40081,40107
40081,40119
40081,40037
22089,22095
22089,22105
22119,05073
22119,22027
22119,05027
20097,20007
20097,20047
20097,20151
20109,20181
20109,20063
20109,20193
22095,22063
22095,22105
05091,05081
05091,05073
05091,05057
20101,20135
20101,20063
20181,20023
20181,20193
20181,20153
20083,20047
20083,20135
20083,20145
30057,30093
30057,30031
30057,30043
20007,20151
20007,20077
20007,20095
56021,31105
56021,56031
56021,31007
56021,56015
40121,40077
40121,40091
40121,40061
40089,05081
40089,05133
40089,05113
40089,40079
22063,22091
22063,22105
05081,05133
05081,05057
05081,05061
40107,40037
40107,40091
40107,40111
22037,28157
22037,22091
22037,28005
53019,53065
05073,05027
05073,05057
05073,05099
16055,16079
16055,16017
22049,22061
22049,22021
22049,22073
08125,20023
08125,08075
08125,08095
08125,31057
08125,31029
28157,22029
28157,28001
28157,28005
28157,28037
16079,30061
16079,16017
16079,30089
22025,22029
22025,22021
22025,22041
22025,22107
40119,40103
40119,40037
40119,40117
22029,28001
22029,22107
30023,30093
30023,30039
30023,30043
30023,30077
20047,20151
20047,20145
20047,20185
30093,30043
56017,56029
56017,56043
40053,20077
40053,40071
40053,20191
40103,40117
40103,40071
40103,40113
22027,22061
22027,05027
22027,22111
22027,05139
05133,05061
05133,05113
22061,22073
22061,22111
40077,40061
40077,40079
22021,22073
22021,22041
22021,22083
20135,20063
20135,20145
20135,20195
20135,20165
20135,20051
30061,30063
30061,30089
30039,30063
30039,30077
22075,22071
22075,22087
20151,20095
20151,20185
20151,20155
22091,22105
22091,28005
53065,53051
20063,20193
20063,20195
20063,20179
20063,20065
56029,30031
56029,56043
56029,30067
56029,56003
56029,30009
22071,22103
22071,22087
20023,31057
20023,20153
20193,20153
20193,20179
20193,20039
20077,20095
20077,20191
28001,28037
28001,22107
28001,28063
05027,05099
05027,05139
05027,05103
56025,56043
56025,56009
56025,56019
08075,31105
08075,08095
08075,31033
08075,08115
40037,40111
40037,40117
40037,40143
22105,28005
22105,22103
22105,28113
22105,22117
40091,40111
40091,40061
40091,40101
31105,31007
31105,31033
40111,40101
40111,40143
40111,40145
05057,05061
05057,05099
05057,05109
20145,20185
20145,20165
20145,20009
40117,40143
40117,40113
05061,05113
05061,05109
05061,05097
30031,30043
30031,30067
30031,30007
30031,30059
22073,22111
22073,22083
22073,22067
28005,28037
28005,28113
28005,28085
22103,22087
22103,22117
22103,28045
22103,28109
56031,56015
56031,56009
56031,56027
20095,20191
20095,20155
20095,20173
22041,22107
22041,22083
22041,22065
40071,20191
40071,40113
40071,20035
20185,20155
20185,20009
20185,20159
22111,05139
22111,22067
22111,05003
05099,05109
05099,05103
05099,05019
30043,30077
30043,30007
30043,30049
05113,40079
05113,05109
05113,05127
05113,05097
40061,40079
